,game_id,white_player,black_player,winning_player,move_list
0,xPgujr21,rootsec1,Emmanuel_Castro-G,rootsec1,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qf5 O-O Bd7 d3 Nb4 Be3 O-O-O Bxa7 b6 d4 Qxc2 Qxc2 Nxc2 Ba6#
1,M00OhEMk,rootsec1,ritutoshniwal,ritutoshniwal,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5 Kc7 Rd3 Kb7 c4 Kc6 Rc5+ Kb7 Rd7+ Ka6 Ra5#
2,Og9t31ml,ritutoshniwal,rootsec1,ritutoshniwal,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3 Rc2 Rxd6 Ke8 Qxg7 Re2 Qf7#
3,a98pKgx0,tariq79,rootsec1,tariq79,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7 Ke2 e8=Q+ Kf3 Qc6+ Ke3 Qc3+ Ke4 Re7+ Kd5 Qd3+ Kc5 Re5+ Kb4 Rb6+ Ka4 Qb5#
4,f5FGtpMC,aeg_20,rootsec1,aeg_20,e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4 g5 Bg3 Nh6 Bc4 a5 O-O Be7 Nd2 Rg8 Qh5+ Nf7 Qxh7 Kd7 Qf5+ Ke8 Bb5+ Bc6 dxc6 Qc7 Qh7 Ra7 Qxg8+ Bf8 Nd5 Nh6 Nxc7+ Rxc7 Qe6+ Be7 Nc4 Rxc6 Bxc6+ Nxc6 Nxd6+ Kf8 Qc8+ Bd8 Qxc6 Be7 Qe8+ Kg7 Nf5+ Kh7 Nxe7 Kg7 Qg6+ Kf8 Qxh6+ Kxe7 Rfd1 Ke6 Rd2 c4 Rad1 b5 Rd6+ Kf7 Qh7+ Kf8 Rd8#
5,Xblogygb,rootsec1,erik_schuetze,erik_schuetze,Nf3 d5 g4 Nc6 Bh3 e6 c3 Bc5 Qb3 Nge7 Ne5 Nxe5 g5 O-O Qa4 Bd7 Qb3 N7g6 Qxb7 Bc6 Qa6 Qxg5 Na3 Bxa3 bxa3 Bd7 Rb1 Qd8 a4 Rb8 Rxb8 Qxb8 Ba3 Re8 e3 Qb1+ Ke2 Qxh1 Qxa7 Qxh2 Kd1 Qxh3 Kc2 Qh4 Qb7 Qd8 Qb1 Qb8 f4 Qxb1+ Kxb1 Nc4 Bc5 Nxd2+ Kc2 Ne4 f5 exf5 a5 Ra8 Bd4 h5 Bb6 h4 Bxc7 h3 a6 Rxa6 a4 h2 Bxh2 Rxa4 Bd6 f4 Bc7 fxe3
